"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,3232.00,9.00,7.00,0.00,0.00,56.00,31.00,23.00,"I4","I4","KLW","KTN",4,"415",1,2021,4,11,1,"L",
0.00,1.00,2130.00,9.00,4.00,0.00,0.00,250.00,155.00,147.00,"I4","I4","LAS","SCF",4,"479",1,2021,4,11,1,"L",
0.00,1.00,2130.00,9.00,6.00,0.00,0.00,250.00,80.00,72.00,"I4","I4","SCF","LAS",4,"479",1,2021,4,11,1,"L",
0.00,1.00,2387.00,9.00,6.00,0.00,0.00,200.00,113.00,105.00,"I4","I4","JNU","KLW",4,"415",4,2021,4,11,1,"L",
0.00,1.00,2387.00,9.00,2.00,0.00,0.00,141.00,55.00,47.00,"I4","I4","KAE","KTN",4,"415",4,2021,4,11,1,"L",
0.00,1.00,37200.00,186.00,137.00,0.00,0.00,410.00,72.00,54.00,"G4","G4","CVG","BUF",6,"694",1,2021,4,11,1,"L",
0.00,1.00,37200.00,186.00,157.00,0.00,0.00,773.00,126.00,114.00,"G4","G4","CVG","TPA",6,"694",1,2021,4,11,2,"L",
0.00,1.00,37200.00,186.00,142.00,0.00,0.00,465.00,78.00,60.00,"G4","G4","CVG","PGV",6,"694",1,2021,4,11,1,"L",
0.00,1.00,36000.00,180.00,149.00,0.00,0.00,646.00,102.00,96.00,"G4","G4","CVG","TUL",6,"694",1,2021,4,11,2,"L",
0.00,1.00,37200.00,186.00,136.00,0.00,0.00,410.00,78.00,66.00,"G4","G4","BUF","CVG",6,"694",1,2021,4,11,1,"L",
0.00,1.00,37200.00,186.00,134.00,0.00,0.00,392.00,78.00,66.00,"G4","G4","BUF","MIE",6,"694",1,2021,4,11,1,"L",
0.00,1.00,37200.00,186.00,153.00,0.00,0.00,802.00,120.00,112.00,"G4","G4","MIA","ORF",6,"694",1,2021,4,11,2,"L",
0.00,1.00,37200.00,186.00,151.00,0.00,0.00,1138.00,168.00,150.00,"G4","G4","MIA","AFW",6,"694",1,2021,4,11,3,"L",
0.00,1.00,37200.00,186.00,157.00,0.00,0.00,496.00,84.00,72.00,"G4","G4","SAT","ELP",6,"694",1,2021,4,11,1,"L",
0.00,2.00,74400.00,372.00,334.00,0.00,0.00,985.00,288.00,246.00,"G4","G4","SAT","IND",6,"694",1,2021,4,11,2,"L",
0.00,1.00,37200.00,186.00,155.00,0.00,0.00,561.00,90.00,72.00,"G4","G4","SAT","PIB",6,"694",1,2021,4,11,2,"L",
0.00,1.00,37200.00,186.00,121.00,0.00,0.00,601.00,96.00,84.00,"G4","G4","SMF","FLG",6,"694",1,2021,4,11,2,"L",
0.00,1.00,37200.00,186.00,148.00,0.00,0.00,272.00,48.00,42.00,"G4","G4","LNK","CID",6,"694",1,2021,4,11,1,"L",
0.00,1.00,37200.00,186.00,164.00,0.00,0.00,419.00,90.00,72.00,"G4","G4","CMI","MSP",6,"694",1,2021,4,11,1,"L",
0.00,1.00,37200.00,186.00,95.00,0.00,0.00,1171.00,180.00,168.00,"G4","G4","CKB","AUS",6,"694",1,2021,4,11,3,"L",
